2 154931.969012
2 289404.125827
4 73464.805049
4 101569.353453
6 51078.579875
6 60240.122742
8 37999.937190
8 42775.598747
10 29261.495612
10 34037.548484
12 24655.923735
12 26346.508187
14 21174.999093
14 23670.352556
16 18922.954572
16 20808.707628
18 16026.169990
18 17951.797332
20 14615.011766
20 15279.850264
22 14051.541574
22 13271.352228
24 12641.428813
24 12917.042668
26 10967.106537
26 11894.789283
28 10875.657205
28 10994.258375
30 9823.687082
30 10275.247068
32 8923.157935
32 9563.764981
34 8852.262023
34 9097.777948
36 8131.747914
36 8767.330655
38 7690.290044
38 8133.618031
40 7357.125274
40 7311.988958
42 7059.135092
42 7249.710120
44 6606.495562
44 6869.985493
46 6770.374159
46 6549.825191
48 6238.386044
48 6266.396567
